rank,rg_screen_name,sport,date,dk_screen_name,fd_screen_name
1,oxenduck,NFL,2021-09-16,oxenduck,oxenduck
2,youdacao,NFL,2021-09-16,youdacao,booourns
3,moklovin,NFL,2021-09-16,moklovin,moklovin
4,rynpak,NFL,2021-09-16,rynpak,rynpak
5,theWhistlesGoWoo,NFL,2021-09-16,theWhistlesGoWooo,theWhistlesGoWooo
6,awesemo,NFL,2021-09-16,Awesemo,awesemo
7,darcmaniluk,NFL,2021-09-16,darcmaniluk,darcmaniluk
8,jayk123,NFL,2021-09-16,jayk123x,
9,Cubasugar1,NFL,2021-09-16,Cubasugar1,Cubasugar1
10,mikemc,NFL,2021-09-16,mikemc,mikemc
11,giantsquid,NFL,2021-09-16,giantsquid,giantsquid
12,bkreider,NFL,2021-09-16,bkreider,bkreider
13,SamENole,NFL,2021-09-16,SamENole,samenole
14,IamPGM,NFL,2021-09-16,IamPGM,
15,gosixersgo76,NFL,2021-09-16,gosixersgo76,gosixersgo76
16,Firedog,NFL,2021-09-16,Firedog50,firedog50
17,papagates,NFL,2021-09-16,papagates,bigpapagates
18,bric75,NFL,2021-09-16,bric75,bric75
19,nolesman,NFL,2021-09-16,nolesman,nolesman
20,uhhuhbro,NFL,2021-09-16,uhhuhbro,uhhuhbro
21,Itsabucslife1,NFL,2021-09-16,itsabucslife1,Itsabucslife1
22,Larrioto,NFL,2021-09-16,Larrioto,larrioto
23,skijmb,NFL,2021-09-16,skijmb,skijmb
24,troubledbyinsects,NFL,2021-09-16,futurehendrix1,troubledbyinsects
25,ehafner,NFL,2021-09-16,ehafner,ehafner
26,ihbrown,NFL,2021-09-16,Ihbrown3,ihbrown
27,ccmathes,NFL,2021-09-16,,ccmathes
28,nevs29044,NFL,2021-09-16,nevs2904,nevs2904
29,Dnedzelskiy,NFL,2021-09-16,Dnedzelskiy,Dnedzelskiy
30,mavs78,NFL,2021-09-16,wilson1,mavs1978
31,dacoltz,NFL,2021-09-16,dacoltz,dacoltz
32,jbk15212,NFL,2021-09-16,Jbk44240,jbk44240
33,hishboo,NFL,2021-09-16,hishboo,hishboo1
34,johnatl,NFL,2021-09-16,johnatl,johnatl
35,MakeItRain84,NFL,2021-09-16,MakeItRain84,MakeItRain84
36,ccarlton1038,NFL,2021-09-16,cjcarlto,cjcarlto1038
37,srn828,NFL,2021-09-16,srn828,srn828
38,colinbennett20,NFL,2021-09-16,colinbennett20,cb2020
39,jmigs,NFL,2021-09-16,,jmigs
40,rsbathla,NFL,2021-09-16,rsbathla,tacobellisbae
41,CheeseIsGood,NFL,2021-09-16,cheeseisgood,cheeseisgood
42,bakebomb,NFL,2021-09-16,bakebomb,bakebomb
43,atenjum,NFL,2021-09-16,Tenjum,ATenjum
44,PetrGibbons,NFL,2021-09-16,PetrGibbons,petrgibbons
45,coachm1999,NFL,2021-09-16,coachm1999,
46,crclngthdrn,NFL,2021-09-16,crclngthdrn,crclngthdrn
47,iggydash,NFL,2021-09-16,JBCJBCJBC,iggydash
48,Clubber62,NFL,2021-09-16,Clubber62,Clubber62
49,mjc08bc,NFL,2021-09-16,mjc08bc,mjcne81
50,BRORANNOSAURUS_FLEX,NFL,2021-09-16,BRORANNOSAURUS_FLEX,BRORANNOSAURUS_FLEX
