Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
WR,Davante Adams (15677315),Davante Adams,15677315,WR/FLEX,8800,MIN@GB 11/01/2020 01:00PM ET,GB,27.72
RB,Alvin Kamara (15677097),Alvin Kamara,15677097,RB/FLEX,8200,NO@CHI 11/01/2020 04:25PM ET,NO,28.9
QB,Patrick Mahomes (15677040),Patrick Mahomes,15677040,QB,8100,NYJ@KC 11/01/2020 01:00PM ET,KC,25.78
RB,Derrick Henry (15677099),Derrick Henry,15677099,RB/FLEX,8000,TEN@CIN 11/01/2020 01:00PM ET,TEN,22.57
QB,Russell Wilson (15677041),Russell Wilson,15677041,QB,7800,SF@SEA 11/01/2020 04:25PM ET,SEA,32.55
QB,Aaron Rodgers (15677042),Aaron Rodgers,15677042,QB,7600,MIN@GB 11/01/2020 01:00PM ET,GB,23.86
RB,Dalvin Cook (15677101),Dalvin Cook,15677101,RB/FLEX,7500,MIN@GB 11/01/2020 01:00PM ET,MIN,24.06
WR,DK Metcalf (15677317),DK Metcalf,15677317,WR/FLEX,7500,SF@SEA 11/01/2020 04:25PM ET,SEA,18.48
QB,Lamar Jackson (15677043),Lamar Jackson,15677043,QB,7400,PIT@BAL 11/01/2020 01:00PM ET,BAL,22
RB,Aaron Jones (15677103),Aaron Jones,15677103,RB/FLEX,7300,MIN@GB 11/01/2020 01:00PM ET,GB,23.6
WR,Michael Thomas (15677319),Michael Thomas,15677319,WR/FLEX,7300,NO@CHI 11/01/2020 04:25PM ET,NO,4.7
WR,Adam Thielen (15677321),Adam Thielen,15677321,WR/FLEX,7200,MIN@GB 11/01/2020 01:00PM ET,MIN,20.83
WR,Tyler Lockett (15677323),Tyler Lockett,15677323,WR/FLEX,7100,SF@SEA 11/01/2020 04:25PM ET,SEA,24.53
WR,Allen Robinson II (15677325),Allen Robinson II,15677325,WR/FLEX,7000,NO@CHI 11/01/2020 04:25PM ET,CHI,16.61
QB,Josh Allen (15677044),Josh Allen,15677044,QB,7000,NE@BUF 11/01/2020 01:00PM ET,BUF,26.73
TE,George Kittle (15677617),George Kittle,15677617,TE/FLEX,7000,SF@SEA 11/01/2020 04:25PM ET,SF,19.64
