Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
QB,Deshaun Watson (15819550),Deshaun Watson,15819550,QB,7400,HOU@DET 11/26/2020 12:30PM ET,HOU,24.42
WR,Terry McLaurin (15819627),Terry McLaurin,15819627,WR/FLEX,7000,WAS@DAL 11/26/2020 04:30PM ET,WAS,17.81
RB,Ezekiel Elliott (15819569),Ezekiel Elliott,15819569,RB/FLEX,6800,WAS@DAL 11/26/2020 04:30PM ET,DAL,17.34
QB,Lamar Jackson (15819551),Lamar Jackson,15819551,QB,6800,BAL@PIT 11/26/2020 08:20PM ET,BAL,20.94
QB,Ben Roethlisberger (15819552),Ben Roethlisberger,15819552,QB,6600,BAL@PIT 11/26/2020 08:20PM ET,PIT,20.48
RB,D'Andre Swift (15819571),D'Andre Swift,15819571,RB/FLEX,6500,HOU@DET 11/26/2020 12:30PM ET,DET,14.51
WR,Will Fuller V (15819629),Will Fuller V,15819629,WR/FLEX,6400,HOU@DET 11/26/2020 12:30PM ET,HOU,16.58
RB,James Conner (15819573),James Conner,15819573,RB/FLEX,6200,BAL@PIT 11/26/2020 08:20PM ET,PIT,14.3
WR,Diontae Johnson (15819631),Diontae Johnson,15819631,WR/FLEX,6200,BAL@PIT 11/26/2020 08:20PM ET,PIT,14.78
WR,Chase Claypool (15819633),Chase Claypool,15819633,WR/FLEX,6100,BAL@PIT 11/26/2020 08:20PM ET,PIT,15.91
WR,Kenny Golladay (15819635),Kenny Golladay,15819635,WR/FLEX,6000,HOU@DET 11/26/2020 12:30PM ET,DET,14.36
RB,Antonio Gibson (15819575),Antonio Gibson,15819575,RB/FLEX,6000,WAS@DAL 11/26/2020 04:30PM ET,WAS,15.02
WR,JuJu Smith-Schuster (15819637),JuJu Smith-Schuster,15819637,WR/FLEX,5900,BAL@PIT 11/26/2020 08:20PM ET,PIT,14.35
QB,Matthew Stafford (15819553),Matthew Stafford,15819553,QB,5800,HOU@DET 11/26/2020 12:30PM ET,DET,17.94
RB,Duke Johnson (15819577),Duke Johnson,15819577,RB/FLEX,5700,HOU@DET 11/26/2020 12:30PM ET,HOU,6.41
WR,Amari Cooper (15819639),Amari Cooper,15819639,WR/FLEX,5700,WAS@DAL 11/26/2020 04:30PM ET,DAL,15.97
QB,Andy Dalton (15819554),Andy Dalton,15819554,QB,5600,WAS@DAL 11/26/2020 04:30PM ET,DAL,8.08
WR,Marvin Jones Jr. (15819641),Marvin Jones Jr.,15819641,WR/FLEX,5500,HOU@DET 11/26/2020 12:30PM ET,DET,11.25
RB,J.K. Dobbins (15819579),J.K. Dobbins,15819579,RB/FLEX,5500,BAL@PIT 11/26/2020 08:20PM ET,BAL,8.83
QB,Alex Smith (15819555),Alex Smith,15819555,QB,5400,WAS@DAL 11/26/2020 04:30PM ET,WAS,11.73
WR,CeeDee Lamb (15819643),CeeDee Lamb,15819643,WR/FLEX,5400,WAS@DAL 11/26/2020 04:30PM ET,DAL,14.64
RB,David Johnson (15819581),David Johnson,15819581,RB/FLEX,5300,HOU@DET 11/26/2020 12:30PM ET,HOU,11.99
WR,Brandin Cooks (15819645),Brandin Cooks,15819645,WR/FLEX,5300,HOU@DET 11/26/2020 12:30PM ET,HOU,13.14
TE,Mark Andrews (15819713),Mark Andrews,15819713,TE/FLEX,5200,BAL@PIT 11/26/2020 08:20PM ET,BAL,11.94
RB,J.D. McKissic (15819583),J.D. McKissic,15819583,RB/FLEX,5100,WAS@DAL 11/26/2020 04:30PM ET,WAS,10.24
QB,Ben DiNucci (15819556),Ben DiNucci,15819556,QB,5000,WAS@DAL 11/26/2020 04:30PM ET,DAL,4.48
QB,Chase Daniel (15819558),Chase Daniel,15819558,QB,4900,HOU@DET 11/26/2020 12:30PM ET,DET,7.26
QB,Garrett Gilbert (15819557),Garrett Gilbert,15819557,QB,4900,WAS@DAL 11/26/2020 04:30PM ET,DAL,15.52
QB,AJ McCarron (15819560),AJ McCarron,15819560,QB,4700,HOU@DET 11/26/2020 12:30PM ET,HOU,0
RB,Adrian Peterson (15819585),Adrian Peterson,15819585,RB/FLEX,4700,HOU@DET 11/26/2020 12:30PM ET,DET,6.97
TE,T.J. Hockenson (15819715),T.J. Hockenson,15819715,TE/FLEX,4700,HOU@DET 11/26/2020 12:30PM ET,DET,11.61
QB,Dwayne Haskins Jr. (15819559),Dwayne Haskins Jr.,15819559,QB,4700,WAS@DAL 11/26/2020 04:30PM ET,WAS,15.14
WR,Marquise Brown (15819647),Marquise Brown,15819647,WR/FLEX,4700,BAL@PIT 11/26/2020 08:20PM ET,BAL,9.02
QB,Kyle Allen (15819561),Kyle Allen,15819561,QB,4500,WAS@DAL 11/26/2020 04:30PM ET,WAS,11.75
RB,Mark Ingram II (15819587),Mark Ingram II,15819587,RB/FLEX,4400,BAL@PIT 11/26/2020 08:20PM ET,BAL,5.64
RB,Kerryon Johnson (15819589),Kerryon Johnson,15819589,RB/FLEX,4300,HOU@DET 11/26/2020 12:30PM ET,DET,4.99
WR,Willie Snead IV (15819649),Willie Snead IV,15819649,WR/FLEX,4300,BAL@PIT 11/26/2020 08:20PM ET,BAL,8.69
DST,Steelers  (15819757),Steelers ,15819757,DST,4200,BAL@PIT 11/26/2020 08:20PM ET,PIT,11
QB,Robert Griffin III (15819562),Robert Griffin III,15819562,QB,4100,BAL@PIT 11/26/2020 08:20PM ET,BAL,-0.18
QB,Mason Rudolph (15819563),Mason Rudolph,15819563,QB,4100,BAL@PIT 11/26/2020 08:20PM ET,PIT,-0.11
TE,Eric Ebron (15819717),Eric Ebron,15819717,TE/FLEX,4100,BAL@PIT 11/26/2020 08:20PM ET,PIT,9.39
QB,David Blough (15819567),David Blough,15819567,QB,4000,HOU@DET 11/26/2020 12:30PM ET,DET,0
QB,Josh McCown (15819568),Josh McCown,15819568,QB,4000,HOU@DET 11/26/2020 12:30PM ET,HOU,0
RB,Jonathan Williams (15819615),Jonathan Williams,15819615,RB/FLEX,4000,HOU@DET 11/26/2020 12:30PM ET,DET,0
RB,Jason Cabinda (15819617),Jason Cabinda,15819617,RB/FLEX,4000,HOU@DET 11/26/2020 12:30PM ET,DET,0.7
RB,C.J. Prosise (15819619),C.J. Prosise,15819619,RB/FLEX,4000,HOU@DET 11/26/2020 12:30PM ET,HOU,1.37
RB,Buddy Howell (15819621),Buddy Howell,15819621,RB/FLEX,4000,HOU@DET 11/26/2020 12:30PM ET,HOU,0
RB,Scottie Phillips (15819623),Scottie Phillips,15819623,RB/FLEX,4000,HOU@DET 11/26/2020 12:30PM ET,HOU,0
RB,Cullen Gillaspia (15819625),Cullen Gillaspia,15819625,RB/FLEX,4000,HOU@DET 11/26/2020 12:30PM ET,HOU,0.4
QB,Dak Prescott (15819566),Dak Prescott,15819566,QB,4000,WAS@DAL 11/26/2020 04:30PM ET,DAL,30.33
RB,Tony Pollard (15819591),Tony Pollard,15819591,RB/FLEX,4000,WAS@DAL 11/26/2020 04:30PM ET,DAL,5.94
RB,Peyton Barber (15819609),Peyton Barber,15819609,RB/FLEX,4000,WAS@DAL 11/26/2020 04:30PM ET,WAS,3.34
RB,Bryce Love (15819611),Bryce Love,15819611,RB/FLEX,4000,WAS@DAL 11/26/2020 04:30PM ET,WAS,0
RB,Rico Dowdle (15819613),Rico Dowdle,15819613,RB/FLEX,4000,WAS@DAL 11/26/2020 04:30PM ET,DAL,0.43
QB,Trace McSorley (15819564),Trace McSorley,15819564,QB,4000,BAL@PIT 11/26/2020 08:20PM ET,BAL,0
QB,Josh Dobbs (15819565),Josh Dobbs,15819565,QB,4000,BAL@PIT 11/26/2020 08:20PM ET,PIT,0
RB,Gus Edwards (15819593),Gus Edwards,15819593,RB/FLEX,4000,BAL@PIT 11/26/2020 08:20PM ET,BAL,6.18
RB,Justice Hill (15819595),Justice Hill,15819595,RB/FLEX,4000,BAL@PIT 11/26/2020 08:20PM ET,BAL,0.26
RB,Patrick Ricard (15819597),Patrick Ricard,15819597,RB/FLEX,4000,BAL@PIT 11/26/2020 08:20PM ET,BAL,1.76
RB,Benny Snell Jr. (15819599),Benny Snell Jr.,15819599,RB/FLEX,4000,BAL@PIT 11/26/2020 08:20PM ET,PIT,4.61
RB,Anthony McFarland Jr. (15819601),Anthony McFarland Jr.,15819601,RB/FLEX,4000,BAL@PIT 11/26/2020 08:20PM ET,PIT,1.93
RB,Jaylen Samuels (15819603),Jaylen Samuels,15819603,RB/FLEX,4000,BAL@PIT 11/26/2020 08:20PM ET,PIT,0.55
RB,Trey Edmunds (15819605),Trey Edmunds,15819605,RB/FLEX,4000,BAL@PIT 11/26/2020 08:20PM ET,PIT,0
RB,Derek Watt (15819607),Derek Watt,15819607,RB/FLEX,4000,BAL@PIT 11/26/2020 08:20PM ET,PIT,0
WR,Marvin Hall (15819651),Marvin Hall,15819651,WR/FLEX,3900,HOU@DET 11/26/2020 12:30PM ET,DET,5.75
TE,Dalton Schultz (15819719),Dalton Schultz,15819719,TE/FLEX,3800,WAS@DAL 11/26/2020 04:30PM ET,DAL,9.68
WR,Danny Amendola (15819653),Danny Amendola,15819653,WR/FLEX,3700,HOU@DET 11/26/2020 12:30PM ET,DET,7.7
DST,WAS Football Team  (15819758),WAS Football Team ,15819758,DST,3700,WAS@DAL 11/26/2020 04:30PM ET,WAS,6.4
WR,Dez Bryant (15819655),Dez Bryant,15819655,WR/FLEX,3600,BAL@PIT 11/26/2020 08:20PM ET,BAL,6.8
WR,Michael Gallup (15819657),Michael Gallup,15819657,WR/FLEX,3500,WAS@DAL 11/26/2020 04:30PM ET,DAL,8.97
TE,Logan Thomas (15819721),Logan Thomas,15819721,TE/FLEX,3500,WAS@DAL 11/26/2020 04:30PM ET,WAS,7.9
WR,Randall Cobb (15819659),Randall Cobb,15819659,WR/FLEX,3400,HOU@DET 11/26/2020 12:30PM ET,HOU,10.01
WR,Keke Coutee (15819661),Keke Coutee,15819661,WR/FLEX,3400,HOU@DET 11/26/2020 12:30PM ET,HOU,5.55
WR,Cam Sims (15819663),Cam Sims,15819663,WR/FLEX,3300,WAS@DAL 11/26/2020 04:30PM ET,WAS,5.81
WR,Steven Sims Jr. (15819665),Steven Sims Jr.,15819665,WR/FLEX,3200,WAS@DAL 11/26/2020 04:30PM ET,WAS,6.1
WR,Quintez Cephus (15819669),Quintez Cephus,15819669,WR/FLEX,3100,HOU@DET 11/26/2020 12:30PM ET,DET,4.12
WR,Dontrelle Inman (15819667),Dontrelle Inman,15819667,WR/FLEX,3100,WAS@DAL 11/26/2020 04:30PM ET,WAS,7.3
DST,Ravens  (15819759),Ravens ,15819759,DST,3100,BAL@PIT 11/26/2020 08:20PM ET,BAL,9.8
WR,Jamal Agnew (15819705),Jamal Agnew,15819705,WR/FLEX,3000,HOU@DET 11/26/2020 12:30PM ET,DET,1.91
WR,Mohamed Sanu (15819707),Mohamed Sanu,15819707,WR/FLEX,3000,HOU@DET 11/26/2020 12:30PM ET,DET,0.95
WR,Kenny Stills (15819709),Kenny Stills,15819709,WR/FLEX,3000,HOU@DET 11/26/2020 12:30PM ET,HOU,3.92
WR,Isaiah Coulter (15819711),Isaiah Coulter,15819711,WR/FLEX,3000,HOU@DET 11/26/2020 12:30PM ET,HOU,0
WR,Isaiah Wright (15819687),Isaiah Wright,15819687,WR/FLEX,3000,WAS@DAL 11/26/2020 04:30PM ET,WAS,5.77
WR,Robert Foster (15819689),Robert Foster,15819689,WR/FLEX,3000,WAS@DAL 11/26/2020 04:30PM ET,WAS,0
WR,Jeff Badet (15819691),Jeff Badet,15819691,WR/FLEX,3000,WAS@DAL 11/26/2020 04:30PM ET,WAS,0
WR,Antonio Gandy-Golden (15819693),Antonio Gandy-Golden,15819693,WR/FLEX,3000,WAS@DAL 11/26/2020 04:30PM ET,WAS,0.88
WR,Kelvin Harmon (15819695),Kelvin Harmon,15819695,WR/FLEX,3000,WAS@DAL 11/26/2020 04:30PM ET,WAS,0
WR,Emanuel Hall (15819697),Emanuel Hall,15819697,WR/FLEX,3000,WAS@DAL 11/26/2020 04:30PM ET,WAS,0
WR,Cedrick Wilson (15819699),Cedrick Wilson,15819699,WR/FLEX,3000,WAS@DAL 11/26/2020 04:30PM ET,DAL,5.88
WR,Noah Brown (15819701),Noah Brown,15819701,WR/FLEX,3000,WAS@DAL 11/26/2020 04:30PM ET,DAL,2.87
WR,Malik Turner (15819703),Malik Turner,15819703,WR/FLEX,3000,WAS@DAL 11/26/2020 04:30PM ET,DAL,0
WR,Miles Boykin (15819671),Miles Boykin,15819671,WR/FLEX,3000,BAL@PIT 11/26/2020 08:20PM ET,BAL,4.41
WR,Devin Duvernay (15819673),Devin Duvernay,15819673,WR/FLEX,3000,BAL@PIT 11/26/2020 08:20PM ET,BAL,4.3
WR,James Proche (15819675),James Proche,15819675,WR/FLEX,3000,BAL@PIT 11/26/2020 08:20PM ET,BAL,0.24
WR,Chris Moore (15819677),Chris Moore,15819677,WR/FLEX,3000,BAL@PIT 11/26/2020 08:20PM ET,BAL,0
WR,Antoine Wesley (15819679),Antoine Wesley,15819679,WR/FLEX,3000,BAL@PIT 11/26/2020 08:20PM ET,BAL,0
WR,DeAndrew White (15819681),DeAndrew White,15819681,WR/FLEX,3000,BAL@PIT 11/26/2020 08:20PM ET,BAL,0
WR,James Washington (15819683),James Washington,15819683,WR/FLEX,3000,BAL@PIT 11/26/2020 08:20PM ET,PIT,6.34
WR,Ray-Ray McCloud III (15819685),Ray-Ray McCloud III,15819685,WR/FLEX,3000,BAL@PIT 11/26/2020 08:20PM ET,PIT,2.75
TE,Jordan Akins (15819723),Jordan Akins,15819723,TE/FLEX,2900,HOU@DET 11/26/2020 12:30PM ET,HOU,7.93
DST,Cowboys  (15819760),Cowboys ,15819760,DST,2800,WAS@DAL 11/26/2020 04:30PM ET,DAL,2.7
TE,Darren Fells (15819725),Darren Fells,15819725,TE/FLEX,2700,HOU@DET 11/26/2020 12:30PM ET,HOU,7.17
DST,Texans  (15819761),Texans ,15819761,DST,2700,HOU@DET 11/26/2020 12:30PM ET,HOU,3
TE,Jesse James (15819747),Jesse James,15819747,TE/FLEX,2500,HOU@DET 11/26/2020 12:30PM ET,DET,3.21
TE,Isaac Nauta (15819749),Isaac Nauta,15819749,TE/FLEX,2500,HOU@DET 11/26/2020 12:30PM ET,DET,0.65
TE,Hunter Bryant (15819751),Hunter Bryant,15819751,TE/FLEX,2500,HOU@DET 11/26/2020 12:30PM ET,DET,0
TE,Pharaoh Brown (15819753),Pharaoh Brown,15819753,TE/FLEX,2500,HOU@DET 11/26/2020 12:30PM ET,HOU,3.42
TE,Kahale Warring (15819755),Kahale Warring,15819755,TE/FLEX,2500,HOU@DET 11/26/2020 12:30PM ET,HOU,0
TE,Jeremy Sprinkle (15819735),Jeremy Sprinkle,15819735,TE/FLEX,2500,WAS@DAL 11/26/2020 04:30PM ET,WAS,0.53
TE,Temarrick Hemingway (15819737),Temarrick Hemingway,15819737,TE/FLEX,2500,WAS@DAL 11/26/2020 04:30PM ET,WAS,1
TE,Thaddeus Moss (15819739),Thaddeus Moss,15819739,TE/FLEX,2500,WAS@DAL 11/26/2020 04:30PM ET,WAS,0
TE,Blake Bell (15819741),Blake Bell,15819741,TE/FLEX,2500,WAS@DAL 11/26/2020 04:30PM ET,DAL,2.14
TE,Sean McKeon (15819743),Sean McKeon,15819743,TE/FLEX,2500,WAS@DAL 11/26/2020 04:30PM ET,DAL,0
TE,Blake Jarwin (15819745),Blake Jarwin,15819745,TE/FLEX,2500,WAS@DAL 11/26/2020 04:30PM ET,DAL,2.2
TE,Luke Willson (15819727),Luke Willson,15819727,TE/FLEX,2500,BAL@PIT 11/26/2020 08:20PM ET,BAL,0
TE,Nick Boyle (15819729),Nick Boyle,15819729,TE/FLEX,2500,BAL@PIT 11/26/2020 08:20PM ET,BAL,4.14
TE,Zach Gentry (15819731),Zach Gentry,15819731,TE/FLEX,2500,BAL@PIT 11/26/2020 08:20PM ET,PIT,0
TE,Vance McDonald (15819733),Vance McDonald,15819733,TE/FLEX,2500,BAL@PIT 11/26/2020 08:20PM ET,PIT,2.52
DST,Lions  (15819762),Lions ,15819762,DST,2200,HOU@DET 11/26/2020 12:30PM ET,DET,2.9
